"Mã SP","Tên Sản Phẩm","Brand Sản Phẩm","Giá Thuê","Giá Cọc","Size","Giá nhập","Tổng doanh thu SP","Tỉ lệ hoàn vốn (%)","Ảnh sản phẩm","Trạng Thái","Ảnh phụ"
"AD054","AD76 Khả Ái","Havana","100.000 đ","200.000 đ","Freesize","","0 đ","0,00%","","",""
"AD056","AD78 Lưu Ly","Tiinstore","100.000 đ","200.000 đ","Freesize","","0 đ","0,00%","https://github.com/thanhsang3197/sherent-hinhanh/blob/main/ao_dai_luuly.jpg?raw=true","",""
"T157","AD6 Nguyệt Ảnh","Tiinstore","150.000 đ","300.000 đ","Freesize","","108.000 đ","0,00%","https://github.com/thanhsang3197/sherent-hinhanh/blob/main/ao_dai_nguyetanh.jpg?raw=true","",""
"T156","AD79 Thanh Tiêu","Tiinstore","150.000 đ","300.000 đ","Freesize","","290.000 đ","0,00%","https://github.com/thanhsang3197/sherent-hinhanh/blob/main/ao_dai_thanhtieu.jpg?raw=true","",""
"T158","AD80 Kim Châu","Tiinstore","150.000 đ","300.000 đ","Freesize","","310.000 đ","0,00%","https://github.com/thanhsang3197/sherent-hinhanh/blob/main/ao_dai_kimchau.jpg?raw=true","",""
"T001","Amy Dress S","Wonderhouse","200.000 đ","600.000 đ","S","600.000 đ","240.000 đ","40,00%","https://github.com/thanhsang3197/sherent-hinhanh/blob/main/vay_thiet_ke_amy.jpg?raw=true","",""
"T004","Flora Dress","Amelia","190.000 đ","400.000 đ","S","","580.000 đ","0,00%","","",""
"T002","Serena Dress S","Those Studios","240.000 đ","700.000 đ","S","850.000 đ","1.620.000 đ","190,59%","https://github.com/thanhsang3197/sherent-hinhanh/blob/main/vay_thiet_ke_serena.jpg?raw=true","",""
"T005","Reina Dress","Amelia","190.000 đ","400.000 đ","S","","480.000 đ","0,00%","https://github.com/thanhsang3197/sherent-hinhanh/blob/main/vay_thiet_ke_reina.jpg?raw=true","",""
"T003","Emily Dress S","Those Studios","210.000 đ","600.000 đ","S","","0 đ","0,00%","","",""
"T006","Oliver dress S","Those Studios","210.000 đ","400.000 đ","S","750.000 đ","1.131.000 đ","150,80%","https://github.com/thanhsang3197/sherent-hinhanh/blob/main/vay_thiet_ke_oliver.jpg?raw=true","",""
"T007","Levia Dress S","Wonderhouse","200.000 đ","400.000 đ","S","","0 đ","0,00%","","",""
"T008","Nini Dress","H.I.U Room","180.000 đ","400.000 đ","S","","0 đ","0,00%","","",""
"T009","Ruby Dress","Trân Ali","210.000 đ","400.000 đ","S","","0 đ","0,00%","","",""
"T011","Hana Dress","Trân Ali","180.000 đ","300.000 đ","S","","0 đ","0,00%","","",""
"T010","Beala Dress","Sò Vintage","250.000 đ","600.000 đ","S","","0 đ","0,00%","","",""
"T012","Mie Dress","Sò Vintage","230.000 đ","700.000 đ","S","800.000 đ","630.000 đ","78,75%","https://github.com/thanhsang3197/sherent-hinhanh/blob/main/vay_thiet_ke_mie.jpg?raw=true","",""
"T013","Aisha Dress","Amelia","190.000 đ","400.000 đ","S","","0 đ","0,00%","","",""
"T014","Sienna Dress","Guvie","150.000 đ","200.000 đ","S","","0 đ","0,00%","","",""
"T015","Ari Dress","Khiet","190.000 đ","700.000 đ","S","","0 đ","0,00%","","",""
"T016","Maven","","220.000 đ","400.000 đ","S","","0 đ","0,00%","","",""
"T017","Jade Dress","Sò Vintage","250.000 đ","600.000 đ","S","","0 đ","0,00%","https://github.com/thanhsang3197/sherent-hinhanh/blob/main/vay_thiet_ke_jade.jpg?raw=true","",""
"T018","Luph Dress S","Jolie Loft","200.000 đ","400.000 đ","S","","200.000 đ","0,00%","https://github.com/thanhsang3197/sherent-hinhanh/blob/main/vay_thiet_ke_luph.jpg?raw=true","",""
"T019","Phoebe Dress","Ceci","190.000 đ","300.000 đ","S","","190.000 đ","0,00%","https://github.com/thanhsang3197/sherent-hinhanh/blob/main/vay_thiet_ke_phoebe.jpg?raw=true","",""
"T020","Cocosin đen","","120.000 đ","300.000 đ","S","","0 đ","0,00%","","",""
"T021","Losia Dress S","Itscicico","200.000 đ","300.000 đ","S","","200.000 đ","0,00%","https://github.com/thanhsang3197/sherent-hinhanh/blob/main/vay_thiet_ke_losia.jpg?raw=true","",""
"T022","Missi Dress S","Wonderhouse","200.000 đ","400.000 đ","S","600.000 đ","690.000 đ","115,00%","https://github.com/thanhsang3197/sherent-hinhanh/blob/main/vay_thiet_ke_missi.jpg?raw=true","",""
"T027","Acelia Dress S Trắng","Sò Vintage","350.000 đ","1.500.000 đ","S","1.650.000 đ","2.650.000 đ","160,61%","https://github.com/thanhsang3197/sherent-hinhanh/blob/main/vay_thiet_ke_acelia.jpg?raw=true","",""
